20140615 234400;1922.25;1922.5;1921.5;1922;1010
20140615 234500;1922;1922.5;1921.75;1922.5;1084
20140615 234600;1922.5;1922.5;1922;1922;165
20140615 234700;1922;1922;1921.75;1922;421
20140615 234800;1922;1922;1921.75;1922;121
20140615 234900;1922;1922.25;1921.75;1922;339
20140615 235000;1922;1922;1921.5;1921.75;343
20140615 235100;1921.75;1922.25;1921.75;1922.25;245
20140615 235200;1922.25;1922.75;1922;1922.5;455
20140615 235300;1922.5;1922.5;1922.5;1922.5;164
20140615 235400;1922.5;1923;1922.5;1923;112
20140615 235500;1923;1923;1922.75;1923;99
20140615 235600;1923;1923;1922.75;1923;25
20140615 235700;1923;1923;1923;1923;179
20140615 235800;1923;1923;1923;1923;14
20140615 235900;1923;1923;1922.75;1922.75;57
20140616 000000;1922.75;1923;1922.75;1923;11
20140616 000100;1923;1923;1923;1923;28
20140616 000200;1922.75;1923;1922.75;1923;46
20140616 000300;1923;1923;1922.75;1923;35
20140616 000400;1922.75;1923;1921.75;1922;842
20140616 000500;1922.25;1922.5;1922;1922;117
20140616 000600;1922.25;1922.25;1921.75;1922;304
20140616 000700;1922;1922.25;1922;1922;356
20140616 000800;1922;1922.25;1921.75;1922;336
20140616 000900;1922.25;1922.25;1921.75;1922;146
20140616 001000;1922;1922;1921.75;1922;42
20140616 001100;1921.75;1922;1921.75;1922;55
20140616 001200;1922;1922;1921.75;1922;20
20140616 001300;1922;1922;1922;1922;119
20140616 001400;1922;1922;1921.75;1921.75;72
20140616 001500;1922;1922;1921.75;1922;118
20140616 001600;1922;1922;1922;1922;69
20140616 001700;1922;1922;1922;1922;94
20140616 001800;1922;1922;1922;1922;35
20140616 001900;1922;1922.5;1921;1921;1439
20140616 002000;1921;1921.5;1920.5;1920.5;478
20140616 002100;1920.75;1920.75;1920.5;1920.5;80
20140616 002200;1920.5;1920.5;1919.75;1920;969
20140616 002300;1920;1920;1919.25;1919.5;596
20140616 002400;1919.25;1920;1919;1920;539
20140616 002500;1920;1920.5;1920;1920.5;585
20140616 002600;1920.5;1920.75;1920.25;1920.5;246
20140616 002700;1920.5;1921;1920.5;1921;97
20140616 002800;1921;1921;1920.75;1921;55
20140616 002900;1921;1921;1920.5;1920.5;365
20140616 003000;1920.5;1920.75;1920.5;1920.75;87
20140616 003100;1920.75;1920.75;1920.75;1920.75;15
20140616 003200;1920.75;1920.75;1920.25;1920.25;177
20140616 003300;1920.25;1920.25;1919.5;1919.5;125
20140616 003400;1919.75;1920;1919.75;1920;114
20140616 003500;1920;1920.25;1920;1920.25;127
20140616 003600;1920.5;1920.5;1920;1920.25;184
20140616 003700;1920.25;1920.5;1920.25;1920.5;80
20140616 003800;1920.25;1920.5;1920;1920;61
20140616 003900;1920;1921;1920;1920.75;468
20140616 004000;1920.75;1921;1920.75;1921;53
20140616 004100;1921;1921.5;1921;1921.25;356
20140616 004200;1921.25;1921.25;1921.25;1921.25;44
20140616 004300;1921.25;1921.25;1921;1921.25;14
20140616 004400;1921;1921;1920.75;1921;167
20140616 004500;1921;1921;1920.75;1921;10
20140616 004600;1920.75;1921;1920.75;1921;15
20140616 004700;1920.75;1921;1920.75;1921;104
20140616 004800;1921.25;1921.25;1921;1921.25;86
20140616 004900;1921.5;1922;1921.5;1922;357
20140616 005000;1922;1922;1921.75;1922;90
20140616 005100;1922;1922;1922;1922;43
20140616 005200;1921.75;1922;1921.75;1921.75;19
20140616 005300;1922;1922;1921.25;1921.5;194
20140616 005400;1921.5;1921.5;1921.5;1921.5;57
20140616 005500;1921.75;1921.75;1921.5;1921.75;12
20140616 005600;1921.5;1921.75;1921.5;1921.75;8
20140616 005700;1921.5;1922;1921.5;1922;98
20140616 005800;1922;1922;1921.75;1921.75;8
20140616 005900;1921.75;1922;1921.75;1921.75;12
20140616 010000;1922;1922;1922;1922;37
20140616 010100;1922;1922;1921.5;1921.75;94
20140616 010200;1921.75;1922.25;1921.5;1922.25;228
20140616 010300;1922.25;1922.25;1921.75;1921.75;221
20140616 010400;1921.75;1921.75;1921.75;1921.75;39
20140616 010500;1921.75;1921.75;1921.75;1921.75;5
20140616 010600;1921.5;1921.5;1921.5;1921.5;22
20140616 010700;1921.5;1921.75;1921.5;1921.5;95
20140616 010800;1921.5;1921.5;1921.25;1921.5;130
20140616 010900;1921.5;1921.5;1921.25;1921.25;80
20140616 011000;1921.5;1921.5;1921;1921;115
20140616 011100;1921.25;1921.5;1921;1921.5;63
20140616 011200;1921.25;1921.25;1921;1921.25;54
20140616 011300;1921.25;1921.25;1921.25;1921.25;67
20140616 011400;1921.25;1921.25;1921.25;1921.25;120
20140616 011500;1921.25;1921.25;1921;1921;70
20140616 011600;1921;1921;1921;1921;7
20140616 011700;1921;1921.25;1921;1921.25;142
20140616 011800;1921;1921;1921;1921;56
20140616 011900;1921;1921;1921;1921;33
20140616 012000;1921.25;1921.25;1921.25;1921.25;3
20140616 012100;1921;1921.25;1921;1921.25;18
20140616 012200;1921.25;1921.25;1921;1921.25;26
20140616 012300;1921;1921;1921;1921;9
20140616 012400;1921.25;1921.25;1921;1921.25;8
20140616 012500;1921.25;1921.25;1921;1921.25;122
20140616 012600;1921;1921;1921;1921;209
20140616 012700;1921;1921;1920.75;1920.75;263
20140616 012800;1920.75;1921;1920.5;1920.5;978
20140616 012900;1920.5;1920.5;1919.75;1920.25;845
20140616 013000;1920.25;1920.25;1919.75;1920;273
20140616 013100;1920.25;1920.25;1920;1920.25;129
20140616 013200;1920;1920;1919.75;1920;67
20140616 013300;1920;1920.25;1920;1920.25;143
20140616 013400;1920.25;1920.5;1920.25;1920.5;77
20140616 013500;1920.25;1920.75;1920.25;1920.75;249
20140616 013600;1920.75;1920.75;1920.75;1920.75;85
20140616 013700;1920.75;1920.75;1920.75;1920.75;29
20140616 013800;1921;1921;1920.75;1921;146
20140616 013900;1921;1921;1920.75;1921;37
20140616 014000;1921;1921.25;1920.5;1920.5;212
20140616 014100;1920.5;1920.75;1920.5;1920.5;26
20140616 014200;1920.5;1920.5;1920.5;1920.5;3
20140616 014300;1920.5;1920.75;1920.5;1920.75;20
20140616 014400;1920.75;1920.75;1920.5;1920.5;25
20140616 014500;1920.75;1920.75;1920.75;1920.75;4
20140616 014600;1920.75;1920.75;1920.5;1920.5;29
20140616 014700;1920.75;1921;1920.5;1921;109
20140616 014800;1920.75;1921;1920.75;1921;17
20140616 014900;1921;1921;1921;1921;13
20140616 015000;1920.75;1921;1920.75;1921;136
20140616 015100;1921;1921;1921;1921;2
20140616 015200;1920.75;1921.25;1920.75;1921.25;85
20140616 015300;1921.25;1921.25;1921;1921;12
20140616 015400;1921;1921.25;1921;1921.25;3
20140616 015500;1921.25;1921.75;1921.25;1921.75;194
20140616 015600;1921.75;1921.75;1921.5;1921.75;326
20140616 015700;1921.75;1922;1921.75;1921.75;6
20140616 015800;1921.75;1922;1921.75;1922;15
20140616 015900;1922;1922;1922;1922;116
20140616 020000;1922;1922.25;1922;1922.25;9
20140616 020100;1922.25;1922.25;1922;1922.25;414
20140616 020300;1922.25;1922.25;1921.75;1922;156
20140616 020400;1922;1922;1921.75;1921.75;20
20140616 020500;1921.75;1922;1921.75;1922;9
20140616 020600;1921.75;1921.75;1921.5;1921.75;157
