20140316 230100;1827.75;1827.75;1827;1827.25;138
20140316 230200;1827.25;1827.75;1827.25;1827.75;56
20140316 230300;1827.75;1827.75;1827;1827.25;147
20140316 230400;1827.25;1827.25;1827;1827;186
20140316 230500;1827;1827.75;1827;1827.5;196
20140316 230600;1827.5;1828;1827.5;1827.75;191
20140316 230700;1828;1828.25;1827.75;1828.25;105
20140316 230800;1828;1828;1827.75;1828;72
20140316 230900;1827.75;1828.25;1827.75;1828;146
20140316 231000;1828;1828.5;1828;1828.25;94
20140316 231100;1828.25;1828.25;1828;1828;89
20140316 231200;1828.25;1828.25;1828;1828.25;61
20140316 231300;1828;1828.25;1827.75;1828.25;167
20140316 231400;1828;1828.25;1828;1828.25;8
20140316 231500;1828.25;1828.25;1827.75;1827.75;20
20140316 231600;1827.75;1828;1827.75;1828;18
20140316 231700;1828;1828.25;1828;1828;42
20140316 231800;1828.25;1828.5;1828.25;1828.5;64
20140316 231900;1828.5;1828.5;1828.25;1828.25;36
20140316 232000;1828.25;1828.25;1828;1828.25;63
20140316 232100;1828.25;1828.5;1828;1828.25;65
20140316 232200;1828;1829;1828;1829;311
20140316 232300;1829;1829;1828.25;1828.75;113
20140316 232400;1828.5;1828.75;1828.25;1828.25;102
20140316 232500;1828.25;1828.75;1828;1828.25;291
20140316 232600;1828.25;1828.75;1828.25;1828.75;44
20140316 232700;1828.75;1829;1828.75;1828.75;191
20140316 232800;1828.75;1829;1828;1828.25;174
20140316 232900;1828.25;1828.75;1828.25;1828.5;62
20140316 233000;1828.5;1828.75;1828.5;1828.5;56
20140316 233100;1828.75;1828.75;1828.5;1828.75;24
20140316 233200;1828.75;1828.75;1828.5;1828.5;11
20140316 233300;1828.75;1828.75;1828.5;1828.75;55
20140316 233400;1828.75;1829;1828.75;1828.75;63
20140316 233500;1829;1829.25;1828.75;1829;241
20140316 233600;1829;1829;1829;1829;56
20140316 233700;1829;1829.25;1828.75;1829;149
20140316 233800;1829;1829.25;1828.5;1828.5;480
20140316 233900;1828.75;1828.75;1828.5;1828.5;19
20140316 234000;1828.75;1828.75;1828.5;1828.5;54
20140316 234100;1828.75;1828.75;1828.75;1828.75;48
20140316 234200;1828.75;1828.75;1828.5;1828.5;15
20140316 234300;1828.5;1828.75;1828.5;1828.5;11
20140316 234400;1828.5;1828.75;1828.5;1828.5;14
20140316 234500;1828.75;1828.75;1828.5;1828.75;16
20140316 234600;1828.5;1828.75;1828.5;1828.75;47
20140316 234700;1828.75;1829.25;1828.75;1829.25;176
